H5215-006-0,WI,54110,PARTC
H5253-021-0,WI,54110,PARTC
H5264-003-0,WI,53532,PARTC
H5264-002-0,WI,53532,PARTC
H5264-005-0,WI,53532,PARTC
H5256-002-0,WI,53518,PARTC
H5256-004-0,WI,53518,PARTC
H5256-001-0,WI,53518,PARTC
H5262-010-0,WI,53507,PARTC
H5262-009-0,WI,53507,PARTC
H5262-013-0,WI,53005,PARTC
H8145-120-0,AR,72003,PARTC
R5826-067-0,AR,72003,PARTC
H4213-016-1,AR,72519,PARTC
H4213-016-3,AR,72704,PARTC
H4213-016-2,AR,71721,PARTC
H4213-016-4,AR,72044,PARTC
H2944-197-0,KS,66039,PARTC
H2663-025-0,KS,66840,PARTC
H2649-012-0,KS,66006,PARTC
H2663-022-0,MO,64842,PARTC
H1951-030-0,LA,70346,PARTC
R5826-026-0,TX,75148,PARTC
H4564-011-0,TX,75148,PARTC
H4564-010-0,TX,75148,PARTC
H4564-012-0,TX,75148,PARTC
H4564-016-0,TX,75148,PARTC
H4527-024-0,TX,78336,PARTC
H4590-029-0,TX,78002,PARTC
H4506-010-0,TX,77418,PARTC
H8145-126-0,TX,78003,PARTC
H7680-003-0,TX,78353,PARTC
H6328-005-0,TX,75002,PARTC
H4590-027-0,TX,75002,PARTC
H7680-004-0,TX,76233,PARTC
H0332-001-0,TX,77053,PARTC
H0332-003-0,TX,77053,PARTC
H0602-026-0,CO,80002,PARTC
H0602-042-0,CO,80002,PARTC
H0602-003-0,CO,80002,PARTC
H0602-027-0,CO,80002,PARTC
H0602-007-0,CO,81038,PARTC
R5826-069-0,KS,66039,PARTC
H3706-009-0,OK,73040,PARTC
H4198-001-0,OK,74010,PARTC
H3755-002-0,OK,74010,PARTC
H8145-155-0,IA,50002,PARTC
H6609-004-0,IA,50002,PARTC
H1651-002-0,IA,52101,PARTC
H1651-004-0,IA,52101,PARTC
H1651-008-0,IA,52101,PARTC
H1651-001-0,IA,52101,PARTC
H2461-006-0,MN,55735,PARTC
H2461-007-0,MN,55735,PARTC
H2461-005-0,MN,55735,PARTC
H2462-020-0,MN,55735,PARTC
H2462-007-0,MN,55735,PARTC
H2462-004-0,MN,55735,PARTC
H2462-010-0,MN,55735,PARTC
H2462-018-0,MN,55735,PARTC
H2459-001-0,MN,55735,PARTC
H9834-005-0,MN,55922,PARTC
